"","X","adult","belongs_to_collection","budget","Genre_1","Genre_2","Genre_3","Genre_4","Genre_5","Genre_6","Genre_7","Genre_8","Genre_9","Genre_10","homepage","id","imdb_id","original_language","original_title","overview","popularity","poster_path","Production_Company_1","Production_Company_2","Production_Company_3","Production_Company_4","Production_Company_5","Production_Company_6","Production_Company_7","Production_Company_8","Production_Company_9","Production_Company_10","Production_Company_11","Production_Company_12","Production_Company_13","Production_Company_14","Production_Company_15","Production_Company_16","Production_Company_17","Production_Company_18","Production_Company_19","Production_Company_20","Production_Company_21","Production_Company_22","Production_Company_23","Production_Company_24","Production_Company_25","Production_Company_26","Production_Company_27","Production_Countries_1","Production_Countries_2","Production_Countries_3","Production_Countries_4","Production_Countries_5","Production_Countries_6","Production_Countries_7","Production_Countries_8","Production_Countries_9","Production_Countries_10","Production_Countries_11","Production_Countries_12","Production_Countries_13","Production_Countries_14","Production_Countries_15","Production_Countries_16","Production_Countries_17","Production_Countries_18","Production_Countries_19","Production_Countries_20","Production_Countries_21","Production_Countries_22","Production_Countries_23","Production_Countries_24","Production_Countries_25","Production_Countries_26","release_date","revenue","runtime","Spoken_Language_1","Spoken_Language_2","Spoken_Language_3","Spoken_Language_4","Spoken_Language_5","Spoken_Language_6","Spoken_Language_7","Spoken_Language_8","Spoken_Language_9","Spoken_Language_10","Spoken_Language_11","Spoken_Language_12","Spoken_Language_13","Spoken_Language_14","Spoken_Language_15","Spoken_Language_16","Spoken_Language_17","Spoken_Language_18","Spoken_Language_19","Spoken_Language_20","status","tagline","title","video","vote_average","vote_count","profit","movies.data$id"
"17",17,FALSE,"",16500000,"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,"","4584","tt0114388","en","Sense and Sensibility","Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","10.673167","/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg","Columbia Pictures Corporation","Mirage Enterprises",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-12-13,1.35e+08,136,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Lose your heart and come to your senses.","Sense and Sensibility",FALSE,7.2,364,118500000,"4584"
"18",18,FALSE,"",4e+06,"Crime","Comedy",NA,NA,NA,NA,NA,NA,NA,NA,"","5","tt0113101","en","Four Rooms","It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.","9.026586","/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg","Miramax Films","A Band Apart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-12-09,4300000,98,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.","Four Rooms",FALSE,6.5,539,3e+05,"5"
"19",19,FALSE,"Ace Ventura Collection",3e+07,"Crime","Comedy","Adventure",NA,NA,NA,NA,NA,NA,NA,"","9273","tt0112281","en","Ace Ventura: When Nature Calls","Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","8.205448","/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg","O Entertainment","Warner Bros.","Morgan Creek Productions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-11-10,212385533,90,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","New animals. New adventures. Same hair.","Ace Ventura: When Nature Calls",FALSE,6.1,1128,182385533,"9273"
"20",20,FALSE,"",6e+07,"Action","Comedy","Crime",NA,NA,NA,NA,NA,NA,NA,"","11517","tt0113845","en","Money Train","A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","7.337906","/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg","Columbia Pictures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-11-21,35431113,103,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Get on, or GET OUT THE WAY!","Money Train",FALSE,5.4,224,-24568887,"11517"
"21",21,FALSE,"Chili Palmer Collection",30250000,"Comedy","Thriller","Crime",NA,NA,NA,NA,NA,NA,NA,"","8012","tt0113161","en","Get Shorty","Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","12.669608","/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg","Jersey Films","Metro-Goldwyn-Mayer (MGM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-10-20,115101622,105,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","The mob is tough, but it’s nothing like show business.","Get Shorty",FALSE,6.4,305,84851622,"8012"
"23",23,FALSE,"",5e+07,"Action","Adventure","Crime","Thriller",NA,NA,NA,NA,NA,NA,"","9691","tt0112401","en","Assassins","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","11.065939","/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg","Silver Pictures","Canal+","Warner Bros.","Dino De Laurentiis Company","Donner/Shuler-Donner Productions","Evansgideon/Lazar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-10-06,30303072,132,"English"," Español"," Nederlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","In the shadows of life, In the business of death, One man found a reason to live...","Assassins",FALSE,6,394,-19696928,"9691"
"25",25,FALSE,"",3600000,"Drama","Romance",NA,NA,NA,NA,NA,NA,NA,NA,"http://www.mgm.com/title_title.do?title_star=LEAVINGL","451","tt0113627","en","Leaving Las Vegas","Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","10.332025","/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg","United Artists","Intial Productions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-10-27,49800000,112,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","I Love You... The Way You Are.","Leaving Las Vegas",FALSE,7.1,365,46200000,"451"
"27",27,FALSE,"",1.2e+07,"Comedy","Drama","Family",NA,NA,NA,NA,NA,NA,NA,"","9263","tt0114011","en","Now and Then","Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.","8.681325","/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg","New Line Cinema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-10-20,27400000,100,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","In every woman there is the girl she left behind.","Now and Then",FALSE,6.6,91,15400000,"9263"
"32",32,FALSE,"",29500000,"Science Fiction","Thriller","Mystery",NA,NA,NA,NA,NA,NA,NA,"","63","tt0114746","en","Twelve Monkeys","In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","12.297305","/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg","Universal Pictures","Atlas Entertainment","Classico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-12-29,168840000,129,"English"," Français",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","The future is history.","Twelve Monkeys",FALSE,7.4,2470,139340000,"63"
"34",34,FALSE,"Babe Collection",3e+07,"Fantasy","Drama","Comedy","Family",NA,NA,NA,NA,NA,NA,"","9598","tt0112431","en","Babe","Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","14.404764","/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg","Universal Pictures","Kennedy Miller Productions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-07-18,254134910,89,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","A little pig goes a long way.","Babe",FALSE,6,756,224134910,"9598"
"36",36,FALSE,"",1.1e+07,"Drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","687","tt0112818","en","Dead Man Walking","A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.","6.891317","/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg","Havoc","PolyGram Filmed Entertainment","Working Title Films",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America"," United Kingdom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-12-29,39363635,122,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","","Dead Man Walking",FALSE,7.3,350,28363635,"687"
"44",44,FALSE,"Mortal Kombat Collection",1.8e+07,"Action","Fantasy",NA,NA,NA,NA,NA,NA,NA,NA,"","9312","tt0113855","en","Mortal Kombat","For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","10.870138","/bdXWixjWVA7Y03PvW74xufrROiJ.jpg","New Line Cinema","Threshold Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-08-18,122195920,101,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Nothing In This World Has Prepared You For This.","Mortal Kombat",FALSE,5.4,452,104195920,"9312"
"45",45,FALSE,"",2e+07,"Fantasy","Drama","Comedy","Thriller",NA,NA,NA,NA,NA,NA,"","577","tt0114681","en","To Die For","Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.","10.448481","/zCREx8trzejNieDLUsRuwLU0cS3.jpg","The Rank Organisation","Columbia Pictures Corporation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-05-20,21284514,106,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","All she wanted was a little attention.","To Die For",FALSE,6.7,177,1284514,"577"
